Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
413211,2026-03-26,20:30,ROYAL HERVE-BATTICE C,BC BELLEFLAMME B,DD - DIVISION 1,
413304,2026-03-29,10:00,RBC ESNEUX B,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413191,2026-04-01,21:00,ROYAL HERVE-BATTICE C,BC SPRIMONT A,DD - DIVISION 1,
413126,2026-04-05,11:00,HENRI-CHAPELLE,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413327,2026-04-10,19:00,RBC BLEGNY A,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413331,2026-04-18,19:00,ROYAL HERVE-BATTICE C,RBC ALLEUR C,DD - DIVISION 1,
416313,2026-04-05,13:00,ROYAL HERVE-BATTICE D,CS OUTREMEUSE,DD - DIVISION 3 A,
416325,2026-04-12,17:00,CRISTAL SGH B,ROYAL HERVE-BATTICE D,DD - DIVISION 3 A,
416333,2026-04-19,13:00,ROYAL HERVE-BATTICE D,ROYAL BC WANZE,DD - DIVISION 3 A,
AW104131,2026-03-27,21:00,BCCA NEUFCHATEAU,HERVE-BATTICE A,DD - REGIONALE 1,
AW104097,2026-04-03,20:00,GANSHOREN DAMES,HERVE-BATTICE A,DD - REGIONALE 1,
AW104172,2026-04-11,20:30,BC CENTRE GAUME,HERVE-BATTICE A,DD - REGIONALE 1,
AW104179,2026-04-18,17:00,HERVE-BATTICE A,BC BONINNE,DD - REGIONALE 1,
AW104165,2026-04-25,17:00,HERVE-BATTICE A,UN HUY BASKET A,DD - REGIONALE 1,
AW106123,2026-03-29,17:00,HERVE-BATTICE B,UN HUY BASKET B,DD - REGIONALE 2 B,
AW106164,2026-04-05,17:00,REBOND OTTIGNIES,HERVE-BATTICE B,DD - REGIONALE 2 B,
AW106172,2026-04-12,11:00,HERVE-BATTICE B,RBC HANEFFE A,DD - REGIONALE 2 B,
AW106182,2026-04-19,12:00,RCS NATOYE,HERVE-BATTICE B,DD - REGIONALE 2 B,
403305,2026-03-28,19:00,RB TILFF B,ROYAL HERVE-BATTICE A,MM - DIVISION 2 B,
403312,2026-04-05,11:00,ROYAL HERVE-BATTICE A,ROYAL SPA BC B,MM - DIVISION 2 B,
403326,2026-04-12,16:00,BC VERVIERS C,ROYAL HERVE-BATTICE A,MM - DIVISION 2 B,
403332,2026-04-19,11:00,ROYAL HERVE-BATTICE A,PEPINSTER EAST BELG C,MM - DIVISION 2 B,
404302,2026-03-29,15:00,ROYAL HERVE-BATTICE B,RB TILFF C,MM - DIVISION 3 A,
404317,2026-04-04,18:30,HENRI-CHAPELLE B,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404332,2026-04-08,20:30,RJS GRIVEGNEE,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404322,2026-04-11,19:00,ROYAL HERVE-BATTICE B,R 4A AYWAILLE-HAMOIR C,MM - DIVISION 3 A,
408307,2026-03-28,17:00,HANNUT BC C,ROYAL HERVE-BATTICE C,MM - DIVISION 4 B,
408315,2026-04-05,9:00,ROYAL HERVE-BATTICE C,R HT-PRE OUGREE A,MM - DIVISION 4 B,
408323,2026-04-11,19:00,RBC AWANS B,ROYAL HERVE-BATTICE C,MM - DIVISION 4 B,
408335,2026-04-19,9:00,ROYAL HERVE-BATTICE C,ALL. FLEMALLE D,MM - DIVISION 4 B,
520306,2026-03-28,10:45,ROYAL BC NINANE A,ROYAL HERVE-BATTICE A,U 10 - MM A,
520326,2026-04-12,11:00,HENRI-CHAPELLE A,ROYAL HERVE-BATTICE A,U 10 - MM A,
521335,2026-04-19,11:00,ROYAL HERVE-BATTICE B,RBC BLEGNY B,U 10 - MM B,
524306,2026-03-29,11:00,HENRI-CHAPELLE B,ROYAL HERVE-BATTICE D,U 10 - MM E,
524191,2026-04-04,11:00,ROYAL HERVE-BATTICE D,THEUX BC B,U 10 - MM E,
524326,2026-04-11,11:00,BBC EUPEN,ROYAL HERVE-BATTICE D,U 10 - MM E,
524331,2026-04-18,11:00,ROYAL HERVE-BATTICE D,CRISTAL SGH B,U 10 - MM E,
525305,2026-03-28,17:00,ROYAL HERVE-BATTICE E,PEPINSTER EAST BELG B,U 10 - MM F,
525195,2026-04-12,11:00,ROYAL HERVE-BATTICE E,RBC DISON-ANDRIMONT A,U 10 - MM F,
528303,2026-03-28,10:30,VAIL. JUPILLE B,ROYAL HERVE-BATTICE C,U 10 - MM I,
528325,2026-04-12,9:00,ROYAL HERVE-BATTICE C,COLLEGE S LOUIS B,U 10 - MM I,
610301,2026-03-28,15:00,ROYAL HERVE-BATTICE,R HT-PRE OUGREE,U 12 - DD,
610192,2026-04-18,13:00,ROYAL HERVE-BATTICE,RBC STAVELOT,U 12 - DD,
500305,2026-04-05,9:00,ROYAL HERVE-BATTICE A,HENRI-CHAPELLE A,U 12 - MM A,
500324,2026-04-11,11:30,BC COINTE A,ROYAL HERVE-BATTICE A,U 12 - MM A,
503303,2026-03-29,13:00,ALL. FLEMALLE A,ROYAL HERVE-BATTICE B,U 12 - MM D,
503325,2026-04-12,13:00,ROYAL HERVE-BATTICE B,LA VILLERSOISE B,U 12 - MM D,
506325,2026-04-11,17:00,ROYAL HERVE-BATTICE D,COLLEGE S LOUIS B,U 12 - MM G,
506335,2026-04-18,17:00,ROYAL HERVE-BATTICE D,HENRI-CHAPELLE C,U 12 - MM G,
600306,2026-03-28,12:30,BCM HERSTAL,ROYAL HERVE-BATTICE,U 14 - DD A,
600011,2026-04-05,15:00,ROYAL HERVE-BATTICE,DF BC MALMEDY,U 14 - DD A,
600326,2026-04-11,10:30,HENRI-CHAPELLE,ROYAL HERVE-BATTICE,U 14 - DD A,
600331,2026-04-18,15:00,ROYAL HERVE-BATTICE,RBC DISON-ANDRIMONT,U 14 - DD A,
480305,2026-03-29,11:00,ROYAL HERVE-BATTICE,ETOILE JUPILLE,U 14 - ELITES MM A,
480324,2026-04-12,14:30,COLLEGE S LOUIS A,ROYAL HERVE-BATTICE,U 14 - ELITES MM A,
480331,2026-04-19,10:00,RBC VISE A,ROYAL HERVE-BATTICE,U 14 - ELITES MM A,(Salle de Fourons)
590301,2026-03-28,17:00,ROYAL HERVE-BATTICE,RBC VISE B,U 16 - DD A,
590321,2026-04-11,17:00,ROYAL HERVE-BATTICE,ROYAL BC WANZE,U 16 - DD A,
590335,2026-04-19,10:00,RBC AUBEL,ROYAL HERVE-BATTICE,U 16 - DD A,
581301,2026-03-28,13:00,RBC BLEGNY,ROYAL HERVE-BATTICE,U 19 - DD B,
581324,2026-04-11,15:00,ROYAL HERVE-BATTICE,ROYAL BC WANZE,U 19 - DD B,
581334,2026-04-18,13:00,ABC WAREMME A,ROYAL HERVE-BATTICE,U 19 - DD B,
550301,2026-03-28,9:00,ROYAL HERVE-BATTICE A,ALL. FLEMALLE B,U 7 - MM A,
550321,2026-04-11,9:00,ROYAL HERVE-BATTICE A,HENRI-CHAPELLE,U 7 - MM A,
551301,2026-03-28,9:30,RBC BLEGNY,ROYAL HERVE-BATTICE B,U 7 - MM B,
551326,2026-04-11,9:00,ROYAL HERVE-BATTICE B,ROYAL BC NINANE,U 7 - MM B,
551336,2026-04-18,11:00,ROYAL HERVE-BATTICE B,BC COINTE,U 7 - MM B,
543306,2026-03-28,12:00,MAIL. COMBLAIN,ROYAL HERVE-BATTICE A,U 8 - MM D,
543331,2026-04-18,9:00,ROYAL HERVE-BATTICE A,ABC WAREMME B,U 8 - MM D,
544306,2026-03-29,12:00,ROYAL BC WANZE,ROYAL HERVE-BATTICE B,U 8 - MM E,
544191,2026-04-04,11:00,ROYAL HERVE-BATTICE B,BC SPRIMONT C,U 8 - MM E,
544331,2026-04-18,9:00,ROYAL HERVE-BATTICE B,BC VERLAINE A,U 8 - MM E,
