Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
418311,2026-04-04,17:00,RBC WELKENRAEDT,MAIL. COMBLAIN,DD - DIVISION 3 C,
418191,2026-04-08,20:30,RBC WELKENRAEDT,ALL. FLEMALLE C,DD - DIVISION 3 C,
418327,2026-04-11,19:00,RBC VISE B,RBC WELKENRAEDT,DD - DIVISION 3 C,
418111,2026-04-18,17:00,RBC WELKENRAEDT,HENRI-CHAPELLE C,DD - DIVISION 3 C,
406311,2026-04-04,19:00,RBC WELKENRAEDT A,BC REVEIL A,MM - DIVISION 3 C,
406327,2026-04-12,12:30,ESL UNITED F,RBC WELKENRAEDT A,MM - DIVISION 3 C,
406331,2026-04-18,19:00,RBC WELKENRAEDT A,CRISTAL SGH B,MM - DIVISION 3 C,
411304,2026-03-28,19:00,BC REVEIL B,RBC WELKENRAEDT B,MM - DIVISION 4 E,
411311,2026-04-04,21:00,RBC WELKENRAEDT B,MAIL. COMBLAIN C,MM - DIVISION 4 E,
411331,2026-04-18,21:00,RBC WELKENRAEDT B,R 4A AYWAILLE-HAMOIR D,MM - DIVISION 4 E,
490306,2026-03-28,13:00,ATLAS A JUPILLE B,RBC WELKENRAEDT,U 14 - PROV MM A,
490331,2026-04-18,11:00,RBC WELKENRAEDT,RBC BLEGNY A,U 14 - PROV MM A,
470306,2026-03-28,12:00,R HT-PRE OUGREE,RBC WELKENRAEDT,U 16 - PROV MM A,
470326,2026-04-11,13:00,ATLAS A JUPILLE B,RBC WELKENRAEDT,U 16 - PROV MM A,
440305,2026-03-28,11:00,CRISTAL SGH C,RBC WELKENRAEDT,U 18 - PROV MM,(Site des 18 Bonniers)
440326,2026-04-12,11:00,RBC VISE B,RBC WELKENRAEDT,U 18 - PROV MM,(Salle de Fourons))
440332,2026-04-18,13:00,RBC WELKENRAEDT,RBC AWANS B,U 18 - PROV MM,
580304,2026-03-28,12:30,RBC ESNEUX,RBC WELKENRAEDT,U 19 - DD A,
580321,2026-04-12,9:00,RBC AUBEL,RBC WELKENRAEDT,U 19 - DD A,
580331,2026-04-18,15:00,RBC WELKENRAEDT,ABC WAREMME B,U 19 - DD A,
