Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
413316,2026-04-04,19:00,R HT-PRE OUGREE A,HANNUT BC,DD - DIVISION 1,
413322,2026-04-11,17:00,PEPINSTER EAST BELG B,R HT-PRE OUGREE A,DD - DIVISION 1,
413336,2026-04-18,19:00,R HT-PRE OUGREE A,RABC ENSIVAL A,DD - DIVISION 1,
417311,2026-04-05,13:00,ALL. FLEMALLE B,R HT-PRE OUGREE B,DD - DIVISION 3 B,
417182,2026-04-07,19:00,ROYAL BASKET OTHEE,R HT-PRE OUGREE B,DD - DIVISION 3 B,
417326,2026-04-11,19:00,R HT-PRE OUGREE B,UN HUY BASKET C,DD - DIVISION 3 B,
417333,2026-04-18,19:00,RBC AWANS,R HT-PRE OUGREE B,DD - DIVISION 3 B,
408315,2026-04-05,9:00,ROYAL HERVE-BATTICE C,R HT-PRE OUGREE A,MM - DIVISION 4 B,
408325,2026-04-11,21:00,R HT-PRE OUGREE A,ROYAL ANS BC B,MM - DIVISION 4 B,
410316,2026-04-04,21:00,R HT-PRE OUGREE B,ORP JAUCHE B,MM - DIVISION 4 D,
410322,2026-04-12,9:45,ROYAL BASKET OTHEE,R HT-PRE OUGREE B,MM - DIVISION 4 D,
410336,2026-04-18,21:00,R HT-PRE OUGREE B,RBC AWANS C,MM - DIVISION 4 D,
610326,2026-04-11,12:30,R HT-PRE OUGREE,ALL. FLEMALLE,U 12 - DD,
610336,2026-04-18,12:30,R HT-PRE OUGREE,RBC DISON-ANDRIMONT,U 12 - DD,
505292,2026-04-04,9:00,PEPINSTER EAST BELG A,R HT-PRE OUGREE B,U 12 - MM F,
505326,2026-04-11,14:30,R HT-PRE OUGREE B,HARIMALIA BC B,U 12 - MM F,
470321,2026-04-11,15:00,RBC VISE B,R HT-PRE OUGREE,U 16 - PROV MM A,
470126,2026-04-18,14:30,R HT-PRE OUGREE,PRAYON TROOZ B,U 16 - PROV MM A,
421321,2026-04-11,16:30,R HT-PRE OUGREE,ROYAL SPA BC,U 21 - MM B,
421333,2026-04-19,15:00,ROYAL ANS BC,R HT-PRE OUGREE,U 21 - MM B,
551321,2026-04-11,13:00,RBC BLEGNY,R HT-PRE OUGREE,U 7 - MM B,
551334,2026-04-18,11:00,BC VERLAINE B,R HT-PRE OUGREE,U 7 - MM B,
542321,2026-04-11,14:45,RBC ALLEUR,R HT-PRE OUGREE,U 8 - MM C,
