Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW247063,2026-03-29,14:00,ROYAL BC CINEY A,LIEGE PANTHERS A,COUPE AWBB U16 - FILLES,
AW246063,2026-03-29,18:30,LAURENTY ACADEMY B,LIEGE PANTHERS A,COUPE AWBB U19 - FILLES,
AW104140,2026-03-21,19:00,BC BONINNE,LIEGE PANTHERS B,DD - REGIONALE 1,
AW104169,2026-04-12,18:00,LIEGE PANTHERS B,RCS NATOYE,DD - REGIONALE 1,
AW104180,2026-04-19,13:30,BCCA NEUFCHATEAU,LIEGE PANTHERS B,DD - REGIONALE 1,
AW105155,2026-03-14,20:30,LIEGE PANTHERS C,PDL CHARLEROI,DD - REGIONALE 2 A,
AW105140,2026-03-22,15:00,BC BONINNE,LIEGE PANTHERS C,DD - REGIONALE 2 A,
AW105169,2026-04-11,20:30,LIEGE PANTHERS C,RBC ALLEUR A,DD - REGIONALE 2 A,
AW105180,2026-04-18,19:00,CEP FLEURUS,LIEGE PANTHERS C,DD - REGIONALE 2 A,
NADSE11ABL,2026-03-28,18:15,LIEGE PANTHERS,SPIROU BASKET PDL,TOP DIVISION WOMEN 1,
NADSE11AJB,2026-04-04,20:30,PHANTOMS BOOM,LIEGE PANTHERS,TOP DIVISION WOMEN 1,
INM1412BDB,2026-03-14,13:30,LIEGE PANTHERS,BC BONINNE,U 14 DD - NATIONALES B,
INM1412BED,2026-03-21,13:00,LA VILLERSOISE,LIEGE PANTHERS,U 14 DD - NATIONALES B,
INM1412BDA,2026-04-11,13:30,LIEGE PANTHERS,KORTRIJK SPURS,U 14 DD - NATIONALES B,
INM1412BFD,2026-04-19,11:00,BASKET WAREGEM,LIEGE PANTHERS,U 14 DD - NATIONALES B,
AW175025,2026-03-15,11:00,LIEGE PANTHERS,RB ALLIANCE ARLON,U 16 - GOLD REGIONALES A,
AW175017,2026-04-11,12:30,MONS CAPITALE,LIEGE PANTHERS,U 16 - GOLD REGIONALES A,
AW175007,2026-04-19,11:00,LIEGE PANTHERS,ROYAL NIVELLES,U 16 - GOLD REGIONALES A,
INM1612BDB,2026-03-15,13:15,KORTRIJK SPURS,LIEGE PANTHERS,U 16 DD - NATIONALES B,
INM1612BAB,2026-03-28,13:00,BC BELLEFLAMME,LIEGE PANTHERS,U 16 DD - NATIONALES B,
INM1612BBF,2026-04-12,15:00,LIEGE PANTHERS,GEMBAS KNESSELARE,U 16 DD - NATIONALES B,
INM1612BCB,2026-04-19,13:00,BASKET WAREGEM,LIEGE PANTHERS,U 16 DD - NATIONALES B,
AW171026,2026-03-14,9:30,LIEGE PANTHERS,TOURNAI WAPITI,U 19 - GOLD REGIONALES B,
AW171005,2026-03-21,11:00,LIEGE PANTHERS,GANSHOREN DAMES,U 19 - GOLD REGIONALES B,
AW171020,2026-03-22,15:00,GANSHOREN DAMES,LIEGE PANTHERS,U 19 - GOLD REGIONALES B,
AW171017,2026-04-11,9:30,LIEGE PANTHERS,BC CENTRE GAUME,U 19 - GOLD REGIONALES B,
AW171008,2026-04-18,12:00,LIEGE PANTHERS,LADIES CHARLEROI,U 19 - GOLD REGIONALES B,
INM1912BBA,2026-03-14,11:30,LIEGE PANTHERS,KORTRIJK SPURS,U 19 DD - NATIONALES B,
INM1912BDB,2026-03-21,11:00,RCS NATOYE,LIEGE PANTHERS,U 19 DD - NATIONALES B,
INM1912BAB,2026-04-05,11:30,KORTRIJK SPURS,LIEGE PANTHERS,U 19 DD - NATIONALES B,
INM1912BBE,2026-04-06,11:00,LIEGE PANTHERS,LDP DONZA,U 19 DD - NATIONALES B,
INM1912BCB,2026-04-18,11:00,KANG. MECHELEN,LIEGE PANTHERS,U 19 DD - NATIONALES B,
