Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
472126,2025-11-23,15:30,GIANTS BRAIVES,MARCHIN BASKET,U 16 - PROV MM C,
472134,2025-11-30,16:30,MARCHIN BASKET,PEPINSTER EAST BELG A,U 16 - PROV MM C,
472141,2025-12-06,15:00,ABC WAREMME B,MARCHIN BASKET,U 16 - PROV MM C,
472194,2026-01-10,15:00,BC COINTE,MARCHIN BASKET,U 16 - PROV MM C,
472211,2026-01-24,15:00,COLLEGE S LOUIS,MARCHIN BASKET,U 16 - PROV MM C,
472224,2026-02-01,12:00,MARCHIN BASKET,CONDROZ MODAVE BB,U 16 - PROV MM C,
472233,2026-02-07,16:00,R.UN.BELLAIRE,MARCHIN BASKET,U 16 - PROV MM C,
472274,2026-03-08,12:00,MARCHIN BASKET,ORP JAUCHE,U 16 - PROV MM C,
472263,2026-03-14,15:00,UN HUY BASKET,MARCHIN BASKET,U 16 - PROV MM C,
472294,2026-03-22,16:30,MARCHIN BASKET,ABC WAREMME B,U 16 - PROV MM C,
472302,2026-03-28,15:00,PEPINSTER EAST BELG A,MARCHIN BASKET,U 16 - PROV MM C,
472325,2026-04-11,15:00,CRISTAL SGH D,MARCHIN BASKET,U 16 - PROV MM C,
472334,2026-04-19,12:00,MARCHIN BASKET,GIANTS BRAIVES,U 16 - PROV MM C,
440123,2025-11-22,10:45,ROYAL ANS BC B,MARCHIN BASKET,U 18 - PROV MM,
440134,2025-11-30,12:00,MARCHIN BASKET,RBC AWANS B,U 18 - PROV MM,
440147,2025-12-07,13:00,ROYAL BC NINANE B,MARCHIN BASKET,U 18 - PROV MM,
440154,2025-12-14,16:30,MARCHIN BASKET,BC BELLEFLAMME B,U 18 - PROV MM,
440167,2025-12-21,17:00,RBC ALLEUR B,MARCHIN BASKET,U 18 - PROV MM,
440185,2026-01-04,9:30,RBC STAVELOT,MARCHIN BASKET,U 18 - PROV MM,
440196,2026-01-10,13:00,RBC VISE B,MARCHIN BASKET,U 18 - PROV MM,
440204,2026-01-18,16:30,MARCHIN BASKET,CRISTAL SGH C,U 18 - PROV MM,
440211,2026-01-25,17:00,ALL. FLEMALLE B,MARCHIN BASKET,U 18 - PROV MM,
440224,2026-02-01,16:30,MARCHIN BASKET,RBC WELKENRAEDT,U 18 - PROV MM,
440314,2026-02-08,16:30,MARCHIN BASKET,ROYAL ANS BC B,U 18 - PROV MM,
440243,2026-02-14,16:30,BCM HERSTAL,MARCHIN BASKET,U 18 - PROV MM,
440274,2026-03-08,16:30,MARCHIN BASKET,BBC EUPEN B,U 18 - PROV MM,
440294,2026-03-22,12:00,MARCHIN BASKET,ROYAL BC NINANE B,U 18 - PROV MM,
440302,2026-03-28,17:00,RBC AWANS B,MARCHIN BASKET,U 18 - PROV MM,
440324,2026-04-12,13:00,BC BELLEFLAMME B,MARCHIN BASKET,U 18 - PROV MM,
440334,2026-04-19,16:30,MARCHIN BASKET,RBC ALLEUR B,U 18 - PROV MM,
