Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
405081,2023-10-22,11:30,BC ST VITH,RSW LIEGE BASKET E,MM - DIVISION 3 B,
405023,2023-10-28,19:00,HERVE-BATTICE B,BC ST VITH,MM - DIVISION 3 B,
405111,2023-11-10,21:00,BC ST VITH,RBC 4A AYWAILLE A,MM - DIVISION 3 B,
405124,2023-11-18,19:00,AVENIR JUPILLE A,BC ST VITH,MM - DIVISION 3 B,
405131,2023-11-24,21:00,BC ST VITH,RBC STAVELOT B,MM - DIVISION 3 B,
405147,2023-12-01,19:00,RBC BLEGNY A,BC ST VITH,MM - DIVISION 3 B,
405156,2023-12-09,21:00,RB UNION LIEGE B,BC ST VITH,MM - DIVISION 3 B,
405161,2023-12-17,11:30,BC ST VITH,RBC WELKENRAEDT A,MM - DIVISION 3 B,
405196,2024-01-06,19:00,LA VILLERSOISE C,BC ST VITH,MM - DIVISION 3 B,
405201,2024-01-12,21:00,BC ST VITH,RBC BLEGNY A,MM - DIVISION 3 B,
405215,2024-01-20,21:00,RBC WELKENRAEDT A,BC ST VITH,MM - DIVISION 3 B,
405231,2024-02-02,21:00,BC ST VITH,HERVE-BATTICE B,MM - DIVISION 3 B,
405242,2024-02-10,19:00,HARIMALIA BC D,BC ST VITH,MM - DIVISION 3 B,
405254,2024-02-17,21:00,ROYAL SPA BC C,BC ST VITH,MM - DIVISION 3 B,
405261,2024-02-25,11:30,BC ST VITH,BC BELLEFLAMME C,MM - DIVISION 3 B,
405281,2024-03-08,21:00,BC ST VITH,HENRI-CHAPELLE B,MM - DIVISION 3 B,
405293,2024-03-16,21:00,RBC 4A AYWAILLE A,BC ST VITH,MM - DIVISION 3 B,
405301,2024-03-22,21:00,BC ST VITH,AVENIR JUPILLE A,MM - DIVISION 3 B,
405327,2024-04-06,18:00,RSW LIEGE BASKET E,BC ST VITH,MM - DIVISION 3 B,
405341,2024-04-21,11:30,BC ST VITH,RB UNION LIEGE B,MM - DIVISION 3 B,
405352,2024-04-27,21:00,RBC STAVELOT B,BC ST VITH,MM - DIVISION 3 B,
502295,2023-10-21,13:00,RBC WELKENRAEDT,BC ST VITH,U 12 - MM C,
502111,2023-11-11,13:30,BC ST VITH,HERVE-BATTICE E,U 12 - MM C,
502122,2023-11-18,13:00,RBC STAVELOT A,BC ST VITH,U 12 - MM C,
502131,2023-11-25,13:30,BC ST VITH,RBC WELKENRAEDT,U 12 - MM C,
502142,2023-12-02,15:00,RABC ENSIVAL B,BC ST VITH,U 12 - MM C,
502156,2023-12-09,14:30,DF BC MALMEDY,BC ST VITH,U 12 - MM C,
502161,2023-12-16,13:30,BC ST VITH,THEUX BC A,U 12 - MM C,
502214,2024-01-20,12:30,RBC AWANS B,BC ST VITH,U 12 - MM C,
502221,2024-01-27,13:30,BC ST VITH,RBC STAVELOT A,U 12 - MM C,
502244,2024-02-10,9:00,ROYAL SPA BC,BC ST VITH,U 12 - MM C,
502251,2024-02-17,10:45,RBC BLEGNY A,BC ST VITH,U 12 - MM C,
502301,2024-03-23,13:30,BC ST VITH,DF BC MALMEDY,U 12 - MM C,
502323,2024-04-07,10:30,HERVE-BATTICE E,BC ST VITH,U 12 - MM C,
502341,2024-04-20,13:30,BC ST VITH,RABC ENSIVAL B,U 12 - MM C,
470324,2023-11-11,17:00,ROYAL ANS BC A,BC ST VITH,U 16 - PROV MM A,
470125,2023-11-18,15:00,RBC WELKENRAEDT,BC ST VITH,U 16 - PROV MM A,
470134,2023-11-26,13:00,RBC AWANS B,BC ST VITH,U 16 - PROV MM A,
470143,2023-12-02,17:00,BC BELLEFLAMME B,BC ST VITH,U 16 - PROV MM A,
470156,2023-12-09,17:00,BC ST VITH,BBC EUPEN B,U 16 - PROV MM A,
470166,2023-12-16,17:00,BC ST VITH,RBC STAVELOT,U 16 - PROV MM A,
470206,2024-01-13,17:00,BC ST VITH,THEUX BC,U 16 - PROV MM A,
470212,2024-01-20,14:30,BCM HERSTAL,BC ST VITH,U 16 - PROV MM A,
470226,2024-01-27,17:00,BC ST VITH,RBC WELKENRAEDT,U 16 - PROV MM A,
470236,2024-02-03,17:00,BC ST VITH,ATLAS A JUPILLE C,U 16 - PROV MM A,
470245,2024-02-10,11:30,ACSA MOSA ANGL.,BC ST VITH,U 16 - PROV MM A,
470256,2024-02-17,15:00,RBC VISE B,BC ST VITH,U 16 - PROV MM A,
470296,2024-03-16,17:00,BC ST VITH,RBC AWANS B,U 16 - PROV MM A,
470301,2024-03-23,17:00,BBC EUPEN B,BC ST VITH,U 16 - PROV MM A,
470116,2024-04-07,17:00,BC ST VITH,ROYAL ANS BC A,U 16 - PROV MM A,
470346,2024-04-20,17:00,BC ST VITH,BC BELLEFLAMME B,U 16 - PROV MM A,
440111,2023-11-11,15:30,BC ST VITH,BC COINTE,U 18 - PROV MM A,
440131,2023-11-25,15:30,BC ST VITH,THEUX BC B,U 18 - PROV MM A,
440142,2023-12-03,17:00,HARIMALIA BC,BC ST VITH,U 18 - PROV MM A,
440156,2023-12-10,14:00,RBC HANEFFE,BC ST VITH,U 18 - PROV MM A,
440161,2023-12-16,15:30,BC ST VITH,RBC STAVELOT,U 18 - PROV MM A,
440214,2024-01-21,15:45,ALL. FLEMALLE B,BC ST VITH,U 18 - PROV MM A,
440231,2024-02-03,15:30,BC ST VITH,ACSA MOSA ANGL.,U 18 - PROV MM A,
440244,2024-02-11,16:00,ROYAL ANS BC,BC ST VITH,U 18 - PROV MM A,
440251,2024-03-09,16:30,BCM HERSTAL,BC ST VITH,U 18 - PROV MM A,
440295,2024-03-17,15:00,THEUX BC B,BC ST VITH,U 18 - PROV MM A,
440301,2024-03-23,15:30,BC ST VITH,RBC HANEFFE,U 18 - PROV MM A,
440323,2024-04-07,9:30,BC COINTE,BC ST VITH,U 18 - PROV MM A,
440341,2024-04-20,15:30,BC ST VITH,HARIMALIA BC,U 18 - PROV MM A,
