Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
405231,2024-02-02,21:00,BC ST VITH,HERVE-BATTICE B,MM - DIVISION 3 B,
405242,2024-02-10,19:00,HARIMALIA BC D,BC ST VITH,MM - DIVISION 3 B,
405254,2024-02-16,21:00,ROYAL SPA BC C,BC ST VITH,MM - DIVISION 3 B,
405261,2024-02-25,11:30,BC ST VITH,BC BELLEFLAMME C,MM - DIVISION 3 B,
405281,2024-03-08,21:00,BC ST VITH,HENRI-CHAPELLE B,MM - DIVISION 3 B,
405293,2024-03-16,21:00,RBC 4A AYWAILLE A,BC ST VITH,MM - DIVISION 3 B,
405301,2024-03-22,21:00,BC ST VITH,AVENIR JUPILLE A,MM - DIVISION 3 B,
405327,2024-04-06,18:00,RSW LIEGE BASKET E,BC ST VITH,MM - DIVISION 3 B,
405341,2024-04-21,11:30,BC ST VITH,RB UNION LIEGE B,MM - DIVISION 3 B,
405352,2024-04-23,20:30,RBC STAVELOT B,BC ST VITH,MM - DIVISION 3 B,
502221,2024-01-27,13:30,BC ST VITH,RBC STAVELOT A,U 12 - MM C,
502244,2024-02-10,9:00,ROYAL SPA BC,BC ST VITH,U 12 - MM C,
502251,2024-02-17,10:45,RBC BLEGNY A,BC ST VITH,U 12 - MM C,
502301,2024-03-23,13:30,BC ST VITH,DF BC MALMEDY,U 12 - MM C,
502323,2024-04-07,10:30,HERVE-BATTICE E,BC ST VITH,U 12 - MM C,
502341,2024-04-20,13:30,BC ST VITH,RABC ENSIVAL B,U 12 - MM C,
470226,2024-01-27,17:00,BC ST VITH,RBC WELKENRAEDT,U 16 - PROV MM A,
470236,2024-02-03,17:00,BC ST VITH,ATLAS A JUPILLE C,U 16 - PROV MM A,
470245,2024-02-10,11:30,ACSA MOSA ANGL.,BC ST VITH,U 16 - PROV MM A,
470256,2024-02-17,15:00,RBC VISE B,BC ST VITH,U 16 - PROV MM A,
470296,2024-03-16,17:00,BC ST VITH,RBC AWANS B,U 16 - PROV MM A,
470301,2024-03-23,17:00,BBC EUPEN B,BC ST VITH,U 16 - PROV MM A,
470116,2024-04-07,17:00,BC ST VITH,ROYAL ANS BC A,U 16 - PROV MM A,
470346,2024-04-20,17:00,BC ST VITH,BC BELLEFLAMME B,U 16 - PROV MM A,
440231,2024-02-03,15:30,BC ST VITH,ACSA MOSA ANGL.,U 18 - PROV MM A,
440244,2024-02-11,16:00,ROYAL ANS BC,BC ST VITH,U 18 - PROV MM A,
440251,2024-03-09,16:30,BCM HERSTAL,BC ST VITH,U 18 - PROV MM A,
440295,2024-03-17,15:00,THEUX BC B,BC ST VITH,U 18 - PROV MM A,
440301,2024-03-24,10:00,RBC HANEFFE,BC ST VITH,U 18 - PROV MM A,
440323,2024-04-07,9:30,BC COINTE,BC ST VITH,U 18 - PROV MM A,
440341,2024-04-20,15:30,BC ST VITH,HARIMALIA BC,U 18 - PROV MM A,
