Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
761113,2026-02-07,15:00,BC SPRIMONT,CRISTAL SGH,CPE PROV JUNIORS,(Salle de Grivegnée)
413242,2026-02-15,13:00,BC SPRIMONT A,RBC CROATIA OUPEYE,DD - DIVISION 1,
413212,2026-02-21,19:00,BC SPRIMONT A,R.UN.BELLAIRE A,DD - DIVISION 1,
413263,2026-03-01,14:00,RABC ENSIVAL A,BC SPRIMONT A,DD - DIVISION 1,
413272,2026-03-07,19:00,BC SPRIMONT A,RBC ESNEUX B,DD - DIVISION 1,
413224,2026-03-15,17:00,BC BELLEFLAMME B,BC SPRIMONT A,DD - DIVISION 1,
413292,2026-03-21,17:00,BC SPRIMONT A,R HT-PRE OUGREE A,DD - DIVISION 1,
413305,2026-03-27,19:00,BC SPRIMONT A,RBC ALLEUR C,DD - DIVISION 1,
413191,2026-04-01,21:00,ROYAL HERVE-BATTICE C,BC SPRIMONT A,DD - DIVISION 1,
413312,2026-04-03,21:00,BC SPRIMONT A,ROYAL SPA BC A,DD - DIVISION 1,
413152,2026-04-12,15:00,BC SPRIMONT A,HENRI-CHAPELLE,DD - DIVISION 1,
413332,2026-04-18,21:00,BC SPRIMONT A,PEPINSTER EAST BELG B,DD - DIVISION 1,
414187,2026-02-05,21:00,COLLEGE S LOUIS,BC SPRIMONT B,DD - DIVISION 2 A,
414242,2026-02-15,15:00,BC SPRIMONT B,PRAYON TROOZ B,DD - DIVISION 2 A,
414263,2026-03-01,17:00,ROYALE US AWANS,BC SPRIMONT B,DD - DIVISION 2 A,
414272,2026-03-07,21:00,BC SPRIMONT B,RBC DISON-ANDRIMONT A,DD - DIVISION 2 A,
414191,2026-03-15,15:00,ALL. FLEMALLE A,BC SPRIMONT B,DD - DIVISION 2 A,
414292,2026-03-21,19:00,BC SPRIMONT B,ROYAL BC NINANE A,DD - DIVISION 2 A,
414305,2026-03-28,18:00,ABC WAREMME A,BC SPRIMONT B,DD - DIVISION 2 A,
414312,2026-04-04,19:00,BC SPRIMONT B,LA VILLERSOISE A,DD - DIVISION 2 A,
414326,2026-04-11,19:00,ATLAS A JUPILLE,BC SPRIMONT B,DD - DIVISION 2 A,
414332,2026-04-18,19:00,BC SPRIMONT B,RBC STAVELOT,DD - DIVISION 2 A,
402242,2026-02-15,17:00,BC SPRIMONT C,FLERON BBC A,MM - DIVISION 2 A,
402202,2026-02-21,17:00,BC SPRIMONT C,RBC ALLEUR C,MM - DIVISION 2 A,
402263,2026-02-28,21:00,ROYAL SPA BC C,BC SPRIMONT C,MM - DIVISION 2 A,
402272,2026-03-07,17:00,BC SPRIMONT C,BC VERVIERS B,MM - DIVISION 2 A,
402292,2026-03-21,21:00,BC SPRIMONT C,ESL UNITED E,MM - DIVISION 2 A,
402305,2026-03-29,11:00,BC SPRIMONT C,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402312,2026-04-04,17:00,BC SPRIMONT C,ABC WAREMME B,MM - DIVISION 2 A,
402326,2026-04-12,15:00,ROYAL BC WANZE B,BC SPRIMONT C,MM - DIVISION 2 A,
402332,2026-04-18,17:00,BC SPRIMONT C,RBC STAVELOT A,MM - DIVISION 2 A,
405245,2026-02-14,19:00,CRISTAL SGH C,BC SPRIMONT D,MM - DIVISION 3 B,
405192,2026-02-21,17:00,BC SPRIMONT D,LA VILLERSOISE B,MM - DIVISION 3 B,
405262,2026-03-01,11:00,BC SPRIMONT D,BC OLNE,MM - DIVISION 3 B,
405102,2026-03-07,21:00,BC SPRIMONT D,R 4A AYWAILLE-HAMOIR A,MM - DIVISION 3 B,
405291,2026-03-21,21:00,HARIMALIA BC D,BC SPRIMONT D,MM - DIVISION 3 B,
405302,2026-03-29,9:00,BC SPRIMONT D,BC BELLEFLAMME D,MM - DIVISION 3 B,
405317,2026-04-04,20:30,BCM HERSTAL A,BC SPRIMONT D,MM - DIVISION 3 B,
405322,2026-04-12,13:00,BC SPRIMONT D,RBC DISON-ANDRIMONT B,MM - DIVISION 3 B,
405332,2026-04-18,18:00,RABC ENSIVAL B,BC SPRIMONT D,MM - DIVISION 3 B,
409242,2026-02-15,11:00,BC SPRIMONT E,RBC CROATIA OUPEYE,MM - DIVISION 4 C,
409263,2026-03-01,13:00,ROYALE US AWANS B,BC SPRIMONT E,MM - DIVISION 4 C,
409272,2026-03-07,17:00,BC SPRIMONT E,BC BELLEFLAMME F,MM - DIVISION 4 C,
409292,2026-03-21,17:00,BC SPRIMONT E,ALL. FLEMALLE C,MM - DIVISION 4 C,
409305,2026-03-28,17:00,RBC DISON-ANDRIMONT C,BC SPRIMONT E,MM - DIVISION 4 C,
409312,2026-04-04,17:00,BC SPRIMONT E,ROYAL SPA BC D,MM - DIVISION 4 C,
409326,2026-04-12,11:00,ROYAL BC NINANE E,BC SPRIMONT E,MM - DIVISION 4 C,(Vaux/Chèvremont)
409332,2026-04-18,21:00,BC SPRIMONT E,R.UN.BELLAIRE C,MM - DIVISION 4 C,
AW101124,2026-02-08,16:00,ROYAL IV BRUSSELS,BC SPRIMONT B,MM - REGIONALE 1,
AW101128,2026-02-15,11:00,BC SPRIMONT B,ROYAL BC NINANE A,MM - REGIONALE 1,
AW101105,2026-02-22,17:00,RCS NATOYE,BC SPRIMONT B,MM - REGIONALE 1,
AW101142,2026-03-01,13:00,BC SPRIMONT B,RPC ANDERLECHT,MM - REGIONALE 1,
AW101152,2026-03-06,21:00,BCCA NEUFCHATEAU,BC SPRIMONT B,MM - REGIONALE 1,
AW101156,2026-03-15,11:00,BC SPRIMONT B,ESL UNITED B,MM - REGIONALE 1,
AW101134,2026-03-20,20:30,UNION MONS-HAINAUT,BC SPRIMONT B,MM - REGIONALE 1,
AW101093,2026-03-27,21:00,BC SPRIMONT B,CASTORS BRAINE,MM - REGIONALE 1,
AW101170,2026-04-12,11:00,BC SPRIMONT B,ASTE KAIN,MM - REGIONALE 1,
AW101177,2026-04-19,11:00,RBC LOYERS,BC SPRIMONT B,MM - REGIONALE 1,
AW101168,2026-04-26,15:00,BB GEMBLOUX,BC SPRIMONT B,MM - REGIONALE 1,
NAHSE21BCJ,2026-02-06,21:00,BC SPRIMONT A,ROYAL IV BRUSSELS,TOP DIVISION MEN 2 B,
NAHSE21BNC,2026-02-14,20:45,STEVOORT BBC,BC SPRIMONT A,TOP DIVISION MEN 2 B,
NAHSE21BEC,2026-02-28,20:30,JEUGD GENTSON,BC SPRIMONT A,TOP DIVISION MEN 2 B,
NAHSE21BCG,2026-03-07,19:00,BC SPRIMONT A,ESL UNITED A,TOP DIVISION MEN 2 B,
NAHSE21BIC,2026-03-14,20:30,PHANTOMS BOOM,BC SPRIMONT A,TOP DIVISION MEN 2 B,
NAHSE21BCL,2026-03-21,19:00,BC SPRIMONT A,BBC HANSBEKE,TOP DIVISION MEN 2 B,
NAHSE21BCB,2026-04-04,19:00,BC SPRIMONT A,BASICS MELSELE,TOP DIVISION MEN 2 B,
NAHSE21BKC,2026-04-10,21:00,HASSELT BT,BC SPRIMONT A,TOP DIVISION MEN 2 B,
NAHSE21BCD,2026-04-18,19:00,BC SPRIMONT A,ANDENNE BASKET,TOP DIVISION MEN 2 B,
521262,2026-03-01,9:00,BC SPRIMONT A,RBC VISE A,U 10 - MM B,
521275,2026-03-08,11:00,ROYAL HERVE-BATTICE B,BC SPRIMONT A,U 10 - MM B,
521296,2026-03-21,11:00,GIANTS BRAIVES A,BC SPRIMONT A,U 10 - MM B,
521192,2026-04-04,12:00,BC SPRIMONT A,RBC BLEGNY B,U 10 - MM B,
521333,2026-04-18,11:00,ETOILE JUPILLE,BC SPRIMONT A,U 10 - MM B,
522235,2026-02-07,9:30,RB TILFF A,BC SPRIMONT B,U 10 - MM C,
522296,2026-03-22,10:30,ROYAL BC WANZE A,BC SPRIMONT B,U 10 - MM C,
522302,2026-03-29,10:30,BC SPRIMONT B,RBC ESNEUX A,U 10 - MM C,
522192,2026-04-04,15:00,BC SPRIMONT B,ALL. FLEMALLE B,U 10 - MM C,
522322,2026-04-12,10:30,BC SPRIMONT B,UN HUY BASKET A,U 10 - MM C,
522333,2026-04-18,9:00,ROYAL ANS BC A,BC SPRIMONT B,U 10 - MM C,
523235,2026-02-07,11:00,RB TILFF C,BC SPRIMONT C,U 10 - MM D,
523192,2026-02-14,13:30,BC SPRIMONT C,ABC WAREMME A,U 10 - MM D,
523296,2026-03-21,11:00,ORP JAUCHE,BC SPRIMONT C,U 10 - MM D,
523302,2026-03-29,9:00,BC SPRIMONT C,RBC ESNEUX B,U 10 - MM D,
523322,2026-04-12,9:00,BC SPRIMONT C,CONDROZ MODAVE BB A,U 10 - MM D,
523333,2026-04-18,15:00,RBC AWANS A,BC SPRIMONT C,U 10 - MM D,
529235,2026-02-07,11:00,RB TILFF D,BC SPRIMONT D,U 10 - MM J,
529296,2026-03-21,9:00,GIANTS BRAIVES B,BC SPRIMONT D,U 10 - MM J,
529302,2026-03-29,9:00,BC SPRIMONT D,BC COINTE C,U 10 - MM J,
529192,2026-04-04,12:00,BC SPRIMONT D,RBC ALLEUR B,U 10 - MM J,
529333,2026-04-18,12:00,RBC ESNEUX C,BC SPRIMONT D,U 10 - MM J,
502261,2026-02-28,9:00,ROYAL SPA BC,BC SPRIMONT B,U 12 - MM C,
502232,2026-03-01,10:30,BC SPRIMONT B,CRISTAL SGH B,U 12 - MM C,
502272,2026-03-07,10:00,BC SPRIMONT B,RB TILFF B,U 12 - MM C,
502304,2026-03-29,9:00,COLLEGE S LOUIS A,BC SPRIMONT B,U 12 - MM C,
502322,2026-04-11,10:30,BC BELLEFLAMME A,BC SPRIMONT B,U 12 - MM C,
502332,2026-04-18,10:00,BC SPRIMONT B,ROYAL ANS BC,U 12 - MM C,
503235,2026-02-07,13:00,BC VERLAINE A,BC SPRIMONT A,U 12 - MM D,
503262,2026-03-01,12:00,BC SPRIMONT A,ABC WAREMME D,U 12 - MM D,
503275,2026-03-08,13:00,ROYAL HERVE-BATTICE B,BC SPRIMONT A,U 12 - MM D,
503296,2026-03-22,13:00,GIANTS BRAIVES B,BC SPRIMONT A,U 12 - MM D,
503302,2026-03-29,12:00,BC SPRIMONT A,LA VILLERSOISE B,U 12 - MM D,
503333,2026-04-18,13:00,ETOILE JUPILLE,BC SPRIMONT A,U 12 - MM D,
509235,2026-02-07,13:00,BC VERLAINE B,BC SPRIMONT C,U 12 - MM J,
509262,2026-03-01,13:30,BC SPRIMONT C,RBC ALLEUR C,U 12 - MM J,
509296,2026-03-22,12:00,ROYAL BC WANZE B,BC SPRIMONT C,U 12 - MM J,
509302,2026-03-29,13:30,BC SPRIMONT C,UN HUY BASKET B,U 12 - MM J,
509322,2026-04-12,12:00,BC SPRIMONT C,CONDROZ MODAVE BB,U 12 - MM J,
509333,2026-04-18,10:45,ROYAL ANS BC B,BC SPRIMONT C,U 12 - MM J,
481232,2026-02-15,9:00,BC SPRIMONT,ATLAS A JUPILLE,U 14 - ELITES MM B,
481224,2026-02-21,9:00,ABC WAREMME,BC SPRIMONT,U 14 - ELITES MM B,
