Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
414324,2026-04-12,15:00,RBC DISON-ANDRIMONT A,RBC HANEFFE B,DD - DIVISION 2 A,
414337,2026-04-18,17:00,COLLEGE S LOUIS,RBC DISON-ANDRIMONT A,DD - DIVISION 2 A,
418316,2026-04-04,17:00,RBC DISON-ANDRIMONT B,HENRI-CHAPELLE C,DD - DIVISION 3 C,
403316,2026-04-04,21:00,RBC DISON-ANDRIMONT A,RBC VISE B,MM - DIVISION 2 B,
403322,2026-04-11,19:00,PEPINSTER EAST BELG C,RBC DISON-ANDRIMONT A,MM - DIVISION 2 B,
403336,2026-04-19,18:00,RBC DISON-ANDRIMONT A,VAIL. JUPILLE A,MM - DIVISION 2 B,
405316,2026-04-04,19:00,RBC DISON-ANDRIMONT B,RBC BLEGNY B,MM - DIVISION 3 B,
405322,2026-04-12,13:00,BC SPRIMONT D,RBC DISON-ANDRIMONT B,MM - DIVISION 3 B,
405336,2026-04-19,16:00,RBC DISON-ANDRIMONT B,VAIL. JUPILLE B,MM - DIVISION 3 B,
407313,2026-04-03,19:00,ETOILE JUPILLE B,RBC DISON-ANDRIMONT D,MM - DIVISION 4 A,
407324,2026-04-12,17:00,RBC DISON-ANDRIMONT D,RBC HANEFFE C,MM - DIVISION 4 A,
407337,2026-04-18,17:00,ORP JAUCHE A,RBC DISON-ANDRIMONT D,MM - DIVISION 4 A,
409315,2026-04-04,20:00,RBC CROATIA OUPEYE,RBC DISON-ANDRIMONT C,MM - DIVISION 4 C,
409325,2026-04-12,13:00,RBC DISON-ANDRIMONT C,ETOILE JUPILLE C,MM - DIVISION 4 C,
409331,2026-04-18,17:00,HARIMALIA BC F,RBC DISON-ANDRIMONT C,MM - DIVISION 4 C,
525335,2026-04-04,15:00,RBC DISON-ANDRIMONT A,ALL. FLEMALLE C,U 10 - MM F,
525195,2026-04-12,11:00,ROYAL HERVE-BATTICE E,RBC DISON-ANDRIMONT A,U 10 - MM F,
610324,2026-04-04,9:00,RBC DISON-ANDRIMONT,CRISTAL SGH,U 12 - DD,
610336,2026-04-18,12:30,R HT-PRE OUGREE,RBC DISON-ANDRIMONT,U 12 - DD,
505325,2026-04-04,13:00,RBC DISON-ANDRIMONT B,PRAYON TROOZ B,U 12 - MM F,
505335,2026-04-19,12:00,RBC DISON-ANDRIMONT B,HENRI-CHAPELLE B,U 12 - MM F,
600324,2026-04-04,15:00,PRAYON TROOZ,RBC DISON-ANDRIMONT,U 14 - DD A,
600331,2026-04-18,15:00,ROYAL HERVE-BATTICE,RBC DISON-ANDRIMONT,U 14 - DD A,
590075,2026-04-04,11:00,RBC DISON-ANDRIMONT,MAIL. COMBLAIN,U 16 - DD A,
590324,2026-04-12,13:00,MAIL. COMBLAIN,RBC DISON-ANDRIMONT,U 16 - DD A,
590331,2026-04-18,11:00,ROYAL SPA BC,RBC DISON-ANDRIMONT,U 16 - DD A,
470113,2026-04-12,10:00,BCM HERSTAL,RBC DISON-ANDRIMONT,U 16 - PROV MM A,
470336,2026-04-18,13:00,ATLAS A JUPILLE B,RBC DISON-ANDRIMONT,U 16 - PROV MM A,
541325,2026-04-12,13:00,FLERON BBC,RBC DISON-ANDRIMONT,U 8 - MM B,
541334,2026-04-19,10:00,RBC DISON-ANDRIMONT,BC VERVIERS,U 8 - MM B,
