Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
417326,2026-04-11,19:00,R HT-PRE OUGREE B,UN HUY BASKET C,DD - DIVISION 3 B,
417332,2026-04-19,11:45,ROYAL BASKET OTHEE,UN HUY BASKET C,DD - DIVISION 3 B,
AW104066,2026-04-02,20:30,REBOND OTTIGNIES,UN HUY BASKET A,DD - REGIONALE 1,
AW104115,2026-04-05,17:00,UN HUY BASKET A,GANSHOREN DAMES,DD - REGIONALE 1,
AW104171,2026-04-11,18:00,UN HUY BASKET A,BCCA NEUFCHATEAU,DD - REGIONALE 1,
AW104165,2026-04-25,17:00,HERVE-BATTICE A,UN HUY BASKET A,DD - REGIONALE 1,
AW106171,2026-04-11,20:00,UN HUY BASKET B,BC COINTE A,DD - REGIONALE 2 B,
AW106181,2026-04-18,17:00,MONS CAPITALE,UN HUY BASKET B,DD - REGIONALE 2 B,
AW106165,2026-04-25,19:00,RBC HANEFFE A,UN HUY BASKET B,DD - REGIONALE 2 B,
406313,2026-04-04,20:00,UN HUY BASKET A,BC COINTE C,MM - DIVISION 3 C,(Hall de Villers-le-B.)
406325,2026-04-11,19:00,CRISTAL SGH B,UN HUY BASKET A,MM - DIVISION 3 C,
406333,2026-04-18,21:00,UN HUY BASKET A,BC REVEIL A,MM - DIVISION 3 C,(Hall de Villers)
410312,2026-04-05,15:30,BC TORES LIEGE,UN HUY BASKET B,MM - DIVISION 4 D,
410326,2026-04-11,19:00,GIANTS BRAIVES B,UN HUY BASKET B,MM - DIVISION 4 D,
410332,2026-04-19,9:45,ROYAL BASKET OTHEE,UN HUY BASKET B,MM - DIVISION 4 D,
522322,2026-04-12,10:30,BC SPRIMONT B,UN HUY BASKET A,U 10 - MM C,
530194,2026-04-04,15:30,RBC HANEFFE A,UN HUY BASKET B,U 10 - MM K,
530325,2026-04-11,13:30,ROYAL MOSA AC 1941,UN HUY BASKET B,U 10 - MM K,
530334,2026-04-18,9:00,UN HUY BASKET B,ROYAL BC WANZE B,U 10 - MM K,
531194,2026-04-04,14:00,RBC HANEFFE B,UN HUY BASKET C,U 10 - MM L,
531325,2026-04-11,11:00,CRISTAL SGH A,UN HUY BASKET C,U 10 - MM L,
531334,2026-04-18,11:00,UN HUY BASKET C,HANNUT BC,U 10 - MM L,
508323,2026-04-12,12:00,VAIL. JUPILLE,UN HUY BASKET C,U 12 - MM I,
509334,2026-04-19,9:00,UN HUY BASKET B,ROYAL BC WANZE B,U 12 - MM J,
601332,2026-04-19,13:00,UN HUY BASKET,RBC AWANS,U 14 - DD B,
472323,2026-04-11,15:00,UN HUY BASKET,R.UN.BELLAIRE,U 16 - PROV MM C,
472332,2026-04-18,9:30,CONDROZ MODAVE BB,UN HUY BASKET,U 16 - PROV MM C,
431332,2026-04-19,13:00,PEPINSTER EAST BELG,UN HUY BASKET B,U 18 - ELITES MM B,
553324,2026-04-11,9:00,UN HUY BASKET,ABC WAREMME A,U 7 - MM D,
553336,2026-04-18,12:15,ALL. FLEMALLE A,UN HUY BASKET,U 7 - MM D,
545325,2026-04-11,10:15,R 4A AYWAILLE-HAMOIR A,UN HUY BASKET,U 8 - MM F,
