Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
411201,2025-01-11,19:00,RBC WELKENRAEDT B,BC OLNE,MM - DIVISION 4 E,
411213,2025-01-18,18:30,BC OLNE,RBC AUBEL C,MM - DIVISION 4 E,
411223,2025-01-25,18:30,BC OLNE,R 4A AYWAILLE-HAMOIR D,MM - DIVISION 4 E,
411243,2025-02-01,18:30,BC OLNE,ROYAL HERVE-BATTICE C,MM - DIVISION 4 E,
411163,2025-02-03,20:00,BC OLNE,THEUX BC C,MM - DIVISION 4 E,
411255,2025-02-15,19:00,RBC DISON-ANDRIMONT C,BC OLNE,MM - DIVISION 4 E,
411263,2025-03-01,18:30,BC OLNE,RABC ENSIVAL C,MM - DIVISION 4 E,
411283,2025-03-08,18:30,BC OLNE,HENRI-CHAPELLE C,MM - DIVISION 4 E,
411323,2025-03-15,18:30,BC OLNE,RBC AWANS C,MM - DIVISION 4 E,
411301,2025-03-24,20:00,RBC STAVELOT C,BC OLNE,MM - DIVISION 4 E,
411314,2025-03-30,11:00,ROYAL BC NINANE D,BC OLNE,MM - DIVISION 4 E,
411336,2025-04-13,15:00,THEUX BC C,BC OLNE,MM - DIVISION 4 E,
411343,2025-04-19,18:30,BC OLNE,BBC EUPEN,MM - DIVISION 4 E,
