Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW245063,2026-03-28,16:00,COLLEGE S LOUIS,R.B.C. BELGRADE,COUPE AWBB U12 -GARCONS,
414294,2026-03-22,12:00,RBC HANEFFE B,COLLEGE S LOUIS,DD - DIVISION 2 A,
414307,2026-03-28,17:00,COLLEGE S LOUIS,PRAYON TROOZ B,DD - DIVISION 2 A,
414316,2026-04-05,17:00,ROYAL BC NINANE A,COLLEGE S LOUIS,DD - DIVISION 2 A,(Vaux/Chèvremont)
414321,2026-04-12,17:00,LA VILLERSOISE A,COLLEGE S LOUIS,DD - DIVISION 2 A,
414337,2026-04-18,17:00,COLLEGE S LOUIS,RBC DISON-ANDRIMONT A,DD - DIVISION 2 A,
522304,2026-03-28,9:00,COLLEGE S LOUIS A,UN HUY BASKET A,U 10 - MM C,
522324,2026-04-11,9:15,COLLEGE S LOUIS A,RB TILFF A,U 10 - MM C,
522336,2026-04-18,10:30,LA VILLERSOISE B,COLLEGE S LOUIS A,U 10 - MM C,
528325,2026-04-12,9:00,ROYAL HERVE-BATTICE C,COLLEGE S LOUIS B,U 10 - MM I,
528334,2026-04-18,9:30,COLLEGE S LOUIS B,MAIL. COMBLAIN,U 10 - MM I,
AW401126,2026-03-14,15:00,ROYAL NIVELLES,COLLEGE S LOUIS,U 12 - INTERPROVINCIAL,
AW401103,2026-03-22,9:00,COLLEGE S LOUIS,LA VILLERSOISE,U 12 - INTERPROVINCIAL,
AW401127,2026-04-19,13:00,COLLEGE S LOUIS,BC GENAPPE,U 12 - INTERPROVINCIAL,
502291,2026-03-21,10:30,ALL. FLEMALLE B,COLLEGE S LOUIS A,U 12 - MM C,
502304,2026-03-29,9:00,COLLEGE S LOUIS A,BC SPRIMONT B,U 12 - MM C,
502324,2026-04-12,10:30,COLLEGE S LOUIS A,RB TILFF B,U 12 - MM C,
506294,2026-03-21,11:15,COLLEGE S LOUIS B,HENRI-CHAPELLE C,U 12 - MM G,
506233,2026-03-28,10:30,BCM HERSTAL B,COLLEGE S LOUIS B,U 12 - MM G,
506325,2026-04-11,17:00,ROYAL HERVE-BATTICE D,COLLEGE S LOUIS B,U 12 - MM G,
506334,2026-04-18,11:15,COLLEGE S LOUIS B,MAIL. COMBLAIN,U 12 - MM G,
480291,2026-03-21,17:00,RBC VISE A,COLLEGE S LOUIS A,U 14 - ELITES MM A,
480304,2026-03-28,13:00,COLLEGE S LOUIS A,THEUX BC A,U 14 - ELITES MM A,
480324,2026-04-12,14:30,COLLEGE S LOUIS A,ROYAL HERVE-BATTICE,U 14 - ELITES MM A,
480336,2026-04-19,17:00,RBC ALLEUR,COLLEGE S LOUIS A,U 14 - ELITES MM A,
481295,2026-03-21,15:00,CRISTAL SGH A,COLLEGE S LOUIS B,U 14 - ELITES MM B,
481303,2026-03-28,15:00,COLLEGE S LOUIS B,ATLAS A JUPILLE,U 14 - ELITES MM B,
481332,2026-04-18,9:00,BC SPRIMONT,COLLEGE S LOUIS B,U 14 - ELITES MM B,
451292,2026-03-21,15:00,BC SPRIMONT,COLLEGE S LOUIS A,U 16 - ELITES MM B,
451301,2026-04-05,11:00,LA VILLERSOISE B,COLLEGE S LOUIS A,U 16 - ELITES MM B,
451326,2026-04-11,11:00,COLLEGE S LOUIS A,HARIMALIA BC A,U 16 - ELITES MM B,
451336,2026-04-18,15:00,COLLEGE S LOUIS A,CRISTAL SGH A,U 16 - ELITES MM B,
472291,2026-03-21,15:00,COLLEGE S LOUIS,BC COINTE,U 16 - PROV MM C,
472306,2026-03-28,11:00,GIANTS BRAIVES,COLLEGE S LOUIS,U 16 - PROV MM C,
472326,2026-04-11,13:00,ORP JAUCHE,COLLEGE S LOUIS,U 16 - PROV MM C,
431291,2026-03-22,13:00,COLLEGE S LOUIS,RBC HANEFFE,U 18 - ELITES MM B,
431306,2026-03-28,16:00,MAIL. COMBLAIN,COLLEGE S LOUIS,U 18 - ELITES MM B,
431326,2026-04-12,13:00,GIANTS BRAIVES,COLLEGE S LOUIS,U 18 - ELITES MM B,
431331,2026-04-18,13:00,COLLEGE S LOUIS,R 4A AYWAILLE-HAMOIR,U 18 - ELITES MM B,
544294,2026-03-21,9:45,COLLEGE S LOUIS,ALL. FLEMALLE B,U 8 - MM E,
544302,2026-03-28,10:45,BC CRISNEE B,COLLEGE S LOUIS,U 8 - MM E,
