Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
403293,2026-04-09,20:00,R.UN.BELLAIRE A,ROYAL MOSA AC 1941 A,MM - DIVISION 2 B,
403323,2026-04-12,10:00,VAIL. JUPILLE A,ROYAL MOSA AC 1941 A,MM - DIVISION 2 B,
403335,2026-04-19,11:30,ROYAL MOSA AC 1941 A,ROYAL SPA BC B,MM - DIVISION 2 B,
407323,2026-04-11,17:00,VAIL. JUPILLE C,ROYAL MOSA AC 1941 B,MM - DIVISION 4 A,
407335,2026-04-19,13:30,ROYAL MOSA AC 1941 B,LA VILLERSOISE C,MM - DIVISION 4 A,
530325,2026-04-11,13:30,ROYAL MOSA AC 1941,UN HUY BASKET B,U 10 - MM K,
530335,2026-04-18,11:30,ROYAL MOSA AC 1941,ABC WAREMME B,U 10 - MM K,
500325,2026-04-11,11:30,ROYAL MOSA AC 1941 A,PRAYON TROOZ A,U 12 - MM A,
505331,2026-04-19,9:00,HARIMALIA BC B,ROYAL MOSA AC 1941 B,U 12 - MM F,
491335,2026-04-19,9:30,ROYAL MOSA AC 1941,RBC VISE B,U 14 - PROV MM B,
450331,2026-04-18,15:00,RBC VISE A,ROYAL MOSA AC 1941,U 16 - ELITES MM A,(Salle de Fourons)
430331,2026-04-18,9:00,ATLAS A JUPILLE,ROYAL MOSA AC 1941,U 18 - ELITES MM A,
540331,2026-04-18,10:00,ROYAL SPA BC A,ROYAL MOSA AC 1941,U 8 - MM A,
