Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
416244,2024-02-10,19:00,RBC AWANS,RBC WELKENRAEDT,DD - DIVISION 3 A,
416254,2024-02-17,19:00,RBC AWANS,RBC HANEFFE D,DD - DIVISION 3 A,
416284,2024-03-09,19:00,RBC AWANS,ALL. FLEMALLE C,DD - DIVISION 3 A,
416292,2024-03-16,17:30,ROYAL BC NINANE B,RBC AWANS,DD - DIVISION 3 A,
416304,2024-03-23,19:00,RBC AWANS,RBC BLEGNY C,DD - DIVISION 3 A,
416326,2024-04-07,11:00,ROYAL SPA BC C,RBC AWANS,DD - DIVISION 3 A,
416344,2024-04-20,19:00,RBC AWANS,REBOND NEUVILLE,DD - DIVISION 3 A,
416353,2024-04-27,17:00,RBC STAVELOT,RBC AWANS,DD - DIVISION 3 A,
402244,2024-02-10,21:00,RBC AWANS A,ACSA MOSA ANGL.,MM - DIVISION 2 A,
402254,2024-02-17,21:00,RBC AWANS A,RB TILFF B,MM - DIVISION 2 A,
402262,2024-02-23,21:00,RABC ENSIVAL B,RBC AWANS A,MM - DIVISION 2 A,
402284,2024-03-09,21:00,RBC AWANS A,RBC VISE B,MM - DIVISION 2 A,
402292,2024-03-17,11:00,R.UN.BELLAIRE B,RBC AWANS A,MM - DIVISION 2 A,
402304,2024-03-23,21:00,RBC AWANS A,PEPINSTER EAST BELG C,MM - DIVISION 2 A,
402326,2024-04-07,17:00,RBC AUBEL B,RBC AWANS A,MM - DIVISION 2 A,
402344,2024-04-20,21:00,RBC AWANS A,PRAYON TROOZ A,MM - DIVISION 2 A,
402353,2024-04-28,13:00,RBC ALLEUR C,RBC AWANS A,MM - DIVISION 2 A,
408246,2024-02-10,21:00,R HT-PRE OUGREE B,RBC AWANS C,MM - DIVISION 4 B,
408251,2024-02-17,21:00,GIANTS BRAIVES B,RBC AWANS C,MM - DIVISION 4 B,
408264,2024-02-24,19:00,RBC AWANS C,BC TORES LIEGE B,MM - DIVISION 4 B,
408324,2024-03-02,19:00,RBC AWANS C,ESP. HAMOIR 96,MM - DIVISION 4 B,
408285,2024-03-09,21:00,ABC WAREMME C,RBC AWANS C,MM - DIVISION 4 B,
408342,2024-04-21,13:00,DISON-ANDRIMONT C,RBC AWANS C,MM - DIVISION 4 B,
408354,2024-04-27,19:00,RBC AWANS C,HERVE-BATTICE C,MM - DIVISION 4 B,
411246,2024-02-11,15:00,GRACE-HOLLOGNE C,RBC AWANS D,MM - DIVISION 4 E,
411264,2024-02-24,21:00,RBC AWANS D,BC TORES LIEGE A,MM - DIVISION 4 E,
411324,2024-03-02,21:00,RBC AWANS D,THEUX BC C,MM - DIVISION 4 E,
411285,2024-03-09,21:00,RBC VISE D,RBC AWANS D,MM - DIVISION 4 E,
411294,2024-03-16,21:00,RBC AWANS D,RJS GRIVEGNEE,MM - DIVISION 4 E,
411301,2024-03-24,14:30,CRISTAL SERAING B,RBC AWANS D,MM - DIVISION 4 E,
411342,2024-04-21,12:00,HANNUT BC D,RBC AWANS D,MM - DIVISION 4 E,
411354,2024-04-27,21:00,RBC AWANS D,HARIMALIA BC E,MM - DIVISION 4 E,
520241,2024-02-11,11:30,LA VILLERSOISE A,RBC AWANS A,U 10 - MM A,
520253,2024-02-17,10:15,BC COINTE A,RBC AWANS A,U 10 - MM A,
520324,2024-03-02,15:30,RBC AWANS A,ALL. FLEMALLE A,U 10 - MM A,
520302,2024-03-23,13:00,ABC WAREMME B,RBC AWANS A,U 10 - MM A,
520344,2024-04-21,10:45,RBC AWANS A,VAIL. JUPILLE,U 10 - MM A,
522241,2024-02-10,16:30,HENRI-CHAPELLE B,RBC AWANS B,U 10 - MM C,
