Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
411016,2023-10-04,21:00,RJS GRIVEGNEE,CS OUTREMEUSE,MM - DIVISION 4 E,
411073,2023-10-13,21:00,BC BELLEFLAMME G,RJS GRIVEGNEE,MM - DIVISION 4 E,
411086,2023-10-22,11:30,RJS GRIVEGNEE,BC TORES LIEGE A,MM - DIVISION 4 E,
411116,2023-11-12,11:30,RJS GRIVEGNEE,RBC AWANS D,MM - DIVISION 4 E,
411125,2023-11-19,13:00,RBC VISE D,RJS GRIVEGNEE,MM - DIVISION 4 E,
411137,2023-11-25,19:00,THEUX BC C,RJS GRIVEGNEE,MM - DIVISION 4 E,
411146,2023-12-03,11:30,RJS GRIVEGNEE,HANNUT BC D,MM - DIVISION 4 E,
411156,2023-12-10,11:30,RJS GRIVEGNEE,CRISTAL SERAING B,MM - DIVISION 4 E,
411163,2023-12-17,11:00,HARIMALIA BC E,RJS GRIVEGNEE,MM - DIVISION 4 E,
411202,2024-01-14,12:00,HANNUT BC D,RJS GRIVEGNEE,MM - DIVISION 4 E,
411216,2024-01-21,11:30,RJS GRIVEGNEE,HARIMALIA BC E,MM - DIVISION 4 E,
411236,2024-02-04,11:30,RJS GRIVEGNEE,ROYAL ANS BC B,MM - DIVISION 4 E,
411245,2024-02-11,14:30,CS OUTREMEUSE,RJS GRIVEGNEE,MM - DIVISION 4 E,
411256,2024-02-17,17:00,GRACE-HOLLOGNE C,RJS GRIVEGNEE,MM - DIVISION 4 E,
411286,2024-03-10,11:30,RJS GRIVEGNEE,BC BELLEFLAMME G,MM - DIVISION 4 E,
411294,2024-03-16,21:00,RBC AWANS D,RJS GRIVEGNEE,MM - DIVISION 4 E,
411306,2024-03-24,11:30,RJS GRIVEGNEE,RBC VISE D,MM - DIVISION 4 E,
411322,2024-04-07,16:00,BC TORES LIEGE A,RJS GRIVEGNEE,MM - DIVISION 4 E,
411341,2024-04-21,14:30,CRISTAL SERAING B,RJS GRIVEGNEE,MM - DIVISION 4 E,
411356,2024-04-28,11:30,RJS GRIVEGNEE,THEUX BC C,MM - DIVISION 4 E,
526053,2023-09-30,16:15,RBC ALLEUR B,RJS GRIVEGNEE,U 10 - MM G,
526066,2023-10-08,9:30,RJS GRIVEGNEE,CRISTAL SERAING B,U 10 - MM G,
526071,2023-10-14,17:00,RSW LIEGE BASKET B,RJS GRIVEGNEE,U 10 - MM G,
526166,2023-10-22,9:30,RJS GRIVEGNEE,GRACE-HOLLOGNE A,U 10 - MM G,
526116,2023-11-12,9:30,RJS GRIVEGNEE,RBC ESNEUX B,U 10 - MM G,
526125,2023-11-18,9:30,ACSA MOSA ANGL.,RJS GRIVEGNEE,U 10 - MM G,
526134,2023-11-25,9:00,ROYAL ANS BC A,RJS GRIVEGNEE,U 10 - MM G,
526143,2023-12-03,15:00,RBC VISE C,RJS GRIVEGNEE,U 10 - MM G,
526206,2024-01-14,9:30,RJS GRIVEGNEE,RSW LIEGE BASKET B,U 10 - MM G,
526212,2024-01-20,15:00,ABC WAREMME D,RJS GRIVEGNEE,U 10 - MM G,
526226,2024-01-28,9:30,RJS GRIVEGNEE,ACSA MOSA ANGL.,U 10 - MM G,
526236,2024-02-04,9:30,RJS GRIVEGNEE,RBC ALLEUR B,U 10 - MM G,
526245,2024-02-11,12:00,ALL. FLEMALLE D,RJS GRIVEGNEE,U 10 - MM G,
526256,2024-02-18,10:30,CRISTAL SERAING B,RJS GRIVEGNEE,U 10 - MM G,
526296,2024-03-10,9:30,RJS GRIVEGNEE,ROYAL ANS BC A,U 10 - MM G,
526324,2024-04-06,12:00,RBC ESNEUX B,RJS GRIVEGNEE,U 10 - MM G,
526346,2024-04-28,9:30,RJS GRIVEGNEE,RBC VISE C,U 10 - MM G,
506053,2023-09-30,9:00,CONDROZ MODAVE BB A,RJS GRIVEGNEE,U 12 - MM G,
506071,2023-10-15,9:00,REBOND NEUVILLE,RJS GRIVEGNEE,U 12 - MM G,
506166,2023-10-22,9:30,RJS GRIVEGNEE,GIANTS BRAIVES A,U 12 - MM G,
506125,2023-10-28,11:30,BC COINTE A,RJS GRIVEGNEE,U 12 - MM G,
506116,2023-11-12,9:30,RJS GRIVEGNEE,HANNUT BC,U 12 - MM G,
506143,2023-12-02,12:00,CRISTAL SERAING B,RJS GRIVEGNEE,U 12 - MM G,
506156,2023-12-10,9:30,RJS GRIVEGNEE,LA VILLERSOISE C,U 12 - MM G,
506206,2024-01-14,9:30,RJS GRIVEGNEE,REBOND NEUVILLE,U 12 - MM G,
506212,2024-01-20,11:15,RBC HANEFFE,RJS GRIVEGNEE,U 12 - MM G,
506226,2024-01-28,9:30,RJS GRIVEGNEE,BC COINTE A,U 12 - MM G,
506236,2024-02-04,9:30,RJS GRIVEGNEE,CONDROZ MODAVE BB A,U 12 - MM G,
506245,2024-02-11,12:00,ROYAL BC WANZE B,RJS GRIVEGNEE,U 12 - MM G,
506301,2024-03-23,9:00,LA VILLERSOISE C,RJS GRIVEGNEE,U 12 - MM G,
506324,2024-04-06,12:00,HANNUT BC,RJS GRIVEGNEE,U 12 - MM G,
506346,2024-04-28,9:30,RJS GRIVEGNEE,CRISTAL SERAING B,U 12 - MM G,
