Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
406116,2025-11-14,20:00,BC REVEIL A,CRISTAL SGH B,MM - DIVISION 3 C,
406126,2025-11-21,21:00,BC REVEIL A,RBC WELKENRAEDT A,MM - DIVISION 3 C,
406137,2025-11-30,13:00,ESL UNITED F,BC REVEIL A,MM - DIVISION 3 C,
406144,2025-12-06,19:00,BC COINTE C,BC REVEIL A,MM - DIVISION 3 C,
406152,2025-12-14,11:00,THEUX BC B,BC REVEIL A,MM - DIVISION 3 C,
406166,2025-12-19,21:00,BC REVEIL A,UN HUY BASKET A,MM - DIVISION 3 C,
406182,2026-01-03,21:00,RBC STAVELOT B,BC REVEIL A,MM - DIVISION 3 C,
406196,2026-01-09,21:00,BC REVEIL A,BC SANKT VITH,MM - DIVISION 3 C,
406205,2026-01-17,21:00,R 4A AYWAILLE-HAMOIR B,BC REVEIL A,MM - DIVISION 3 C,
406216,2026-01-23,21:00,BC REVEIL A,BBC EUPEN,MM - DIVISION 3 C,
406223,2026-02-01,15:00,ATLAS A JUPILLE C,BC REVEIL A,MM - DIVISION 3 C,
406246,2026-02-13,21:00,BC REVEIL A,RBC VISE C,MM - DIVISION 3 C,
406265,2026-02-28,19:00,CRISTAL SGH B,BC REVEIL A,MM - DIVISION 3 C,(Ecole de la Troque)
406276,2026-03-07,17:00,BC REVEIL A,RBC BLEGNY A,MM - DIVISION 3 C,
406296,2026-03-20,20:00,BC REVEIL A,BC COINTE C,MM - DIVISION 3 C,
406306,2026-03-28,21:00,BC REVEIL A,ESL UNITED F,MM - DIVISION 3 C,
406311,2026-04-04,19:00,RBC WELKENRAEDT A,BC REVEIL A,MM - DIVISION 3 C,
406326,2026-04-10,21:00,BC REVEIL A,THEUX BC B,MM - DIVISION 3 C,
406333,2026-04-19,17:00,UN HUY BASKET A,BC REVEIL A,MM - DIVISION 3 C,
411117,2025-11-15,18:30,HENRI-CHAPELLE C,BC REVEIL B,MM - DIVISION 4 E,
411124,2025-11-21,19:00,BC REVEIL B,AVENIR JUPILLE B,MM - DIVISION 4 E,
411131,2025-11-29,17:00,RBC WELKENRAEDT B,BC REVEIL B,MM - DIVISION 4 E,
411144,2025-12-05,21:00,BC REVEIL B,MAIL. COMBLAIN C,MM - DIVISION 4 E,
411154,2025-12-13,17:00,RB TILFF E,BC REVEIL B,MM - DIVISION 4 E,
411164,2025-12-19,19:00,BC REVEIL B,RBC BLEGNY C,MM - DIVISION 4 E,
411194,2026-01-09,19:00,BC REVEIL B,RBC AUBEL,MM - DIVISION 4 E,
411206,2026-01-16,21:00,DF BC MALMEDY,BC REVEIL B,MM - DIVISION 4 E,
411214,2026-01-23,19:00,BC REVEIL B,ROYAL SPA BC E,MM - DIVISION 4 E,
411222,2026-02-01,11:30,RBC STAVELOT C,BC REVEIL B,MM - DIVISION 4 E,
411184,2026-02-06,20:00,BC REVEIL B,R 4A AYWAILLE-HAMOIR D,MM - DIVISION 4 E,
411244,2026-02-13,19:00,BC REVEIL B,R.UN.BELLAIRE B,MM - DIVISION 4 E,
411264,2026-03-01,15:00,BC REVEIL B,HENRI-CHAPELLE C,MM - DIVISION 4 E,
411272,2026-03-07,18:00,RABC ENSIVAL C,BC REVEIL B,MM - DIVISION 4 E,
411296,2026-03-21,18:00,MAIL. COMBLAIN C,BC REVEIL B,MM - DIVISION 4 E,
411304,2026-03-28,19:00,BC REVEIL B,RBC WELKENRAEDT B,MM - DIVISION 4 E,
411313,2026-04-04,17:00,AVENIR JUPILLE B,BC REVEIL B,MM - DIVISION 4 E,
411324,2026-04-10,19:00,BC REVEIL B,RB TILFF E,MM - DIVISION 4 E,
411337,2026-04-18,17:00,RBC BLEGNY C,BC REVEIL B,MM - DIVISION 4 E,
